,community_area_name,Latitude,Longitude
0,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481
1,"West Ridge, Chicago, IL",42.0035482,-87.6962426
2,"Uptown, Chicago, IL",41.9666299,-87.6555458
3,"Lincoln Square, Chicago, IL",41.9687,-87.689
4,"North Center, Chicago, IL",41.9561073,-87.6791596
5,"Lake View, Chicago, IL",41.94705,-87.6554287829005
6,"Lincoln Park, Chicago, IL",41.94029765,-87.6381171054176
7,"Near North Side, Chicago, IL",41.9000327,-87.6344975
8,"Edison Park, Chicago, IL",42.0057335,-87.8140036737589
9,"Norwood Park, Chicago, IL",41.9855895,-87.8005772013227
10,"Jefferson Park, Chicago, IL",41.9697375,-87.7631179
11,"Forest Glen, Chicago, IL",41.99175155,-87.7516732983677
12,"North Park, Chicago, IL",41.98495475,-87.7229343538787
13,"Albany Park, Chicago, IL",41.9719367,-87.7161739
14,"Portage Park, Chicago, IL",41.9578093,-87.7650594
15,"Irving Park, Chicago, IL",41.953365,-87.7364471
16,"Dunning, Chicago, IL",41.952809,-87.7964493
17,"Montclare, Chicago, IL",41.9253091,-87.8008931
18,"Belmont Cragin, Chicago, IL",41.9316983,-87.7686699
19,"Hermosa, Chicago, IL",41.928643,-87.7345019
20,"Avondale, Chicago, IL",41.9389208,-87.711168
21,"Logan Square, Chicago, IL",41.9283996,-87.7067641113273
22,"Humboldt park, Chicago, IL",41.9057668,-87.7041737
23,"West Town, Chicago, IL",41.9014213,-87.6861661
24,"Austin, Chicago, IL",41.8878759,-87.7648508
25,"West Garfield Park, Chicago, IL",41.8805878,-87.7292227
26,"East Garfield Park, Chicago, IL",41.8808657,-87.7028328
27,"Near West Side, Chicago, IL",41.8800656,-87.6667624
28,"North Lawndale, Chicago, IL",41.8600324,-87.7183883
29,"South Lawndale, Chicago, IL",41.8436437,-87.7125544
30,"Lower West Side, Chicago, IL",41.8541996,-87.6656086
31,"Loop, Chicago, IL",41.8755616,-87.6244212
32,"Near South Side, Chicago, IL",41.8566999,-87.6247738
33,"Armour Square, Chicago, IL",41.8400333,-87.633107
34,"Douglas, Chicago, IL",41.8348565,-87.6179536
35,"Oakland, Chicago, IL",41.82400155,-87.6051021042891
36,"Fuller Park, Chicago, IL",41.8180891,-87.6325508
37,"Grand Boulevard, Chicago, IL",41.8139226,-87.6172724
38,"Kenwood, Chicago, IL",41.8091444,-87.5979908
39,"Washington Park, Chicago, IL",41.7925338,-87.6181052
40,"Hyde Park, Chicago, IL",41.7944464,-87.5939244
41,"Woodlawn, Chicago, IL",41.7794786,-87.599493
42,"South Shore, Chicago, IL",41.7626438,-87.5751786179462
43,"Chatham, Chicago, IL",41.7411454,-87.6125481
44,"Avalon Park, Chicago, IL",41.7450346,-87.5886584
45,"South Chicago, Chicago, IL",41.7391343,-87.5490109956804
46,"Burnside, Chicago, IL",41.7300345,-87.596714
47,"Calumet Heights, Chicago, IL",41.7300347,-87.5792134
48,"Roseland, Chicago, IL",41.7019787,-87.625881
49,"Pullman, Chicago, IL",41.6922182,-87.6066039
50,"South Deering, Chicago, IL",41.8969918,-88.1867785
51,"East Side, Chicago, IL",41.6946178,-87.5333872
52,"West Pullman, Chicago, IL",41.6750456,-87.637823
53,"Riverdale, Chicago, IL",41.6678347,-87.6049644
54,"Hegewisch, Chicago, IL",41.6536462,-87.5469885
55,"Garfield Ridge, Chicago, IL",41.8036171,-87.7454915835633
56,"Archer Heights, Chicago, IL",41.8114215,-87.7261651
57,"Brighton Park, Chicago, IL",41.8189217,-87.6989421
58,"McKinley Park, Chicago, IL",41.8316997,-87.6736638
59,"Bridgeport, Chicago, IL",41.8379385,-87.651028
60,"New City, Chicago, IL",41.8075333,-87.6564403
61,"West Elsdon, Chicago, IL",41.7939217,-87.7244978
62,"Gage Park, Chicago, IL",41.795033,-87.6961636
63,"Clearing, Chicago, IL",41.780588,-87.7733881
64,"West Lawn, Chicago, IL",41.7728107,-87.722275
65,"Chicago Lawn, Chicago, IL",41.7750332,-87.6964408
66,"West Englewood, Chicago, IL",41.7780891,-87.6667177
67,"Englewood, Chicago, IL",41.7797559,-87.6458836
68,"Greater Grand Crossing, Chicago, IL",41.76258065,-87.6003196082787
69,"Ashburn, Chicago, IL",41.7475332,-87.7111628
70,"Auburn Gresham, Chicago, IL",41.750474,-87.6643042
71,"Beverly, Chicago, IL",41.7181532,-87.6717674
72,"Washington Heights, Chicago, IL",41.7064229,-87.65616
73,"Mount Greenwood, Chicago, IL",41.6980891,-87.7086616
74,"Morgan Park, Chicago, IL",41.6903117,-87.6667156
75,"O'Hare, Chicago, IL",41.97310105,-87.9067678854723
76,"Edgewater, Chicago, IL",41.9833689,-87.6639516
