,Community,Community Latitude,Community Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Morse Fresh Market,42.008086562847986,-87.66704093235545,Grocery Store
1,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,El Famous Burrito,42.01042128720865,-87.67420436237607,Mexican Restaurant
2,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Rogers Park Social,42.0073603073387,-87.66626485580036,Bar
3,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Bark Place,42.01008029950695,-87.67522292839932,Pet Store
4,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Glenwood Sunday Market,42.00852528781693,-87.66625066859307,Farmers Market
5,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Lifeline Theatre,42.007372355621,-87.66628355736664,Theater
6,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,The Common Cup,42.00779721534203,-87.6679009525727,Coffee Shop
7,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,R Public House,42.016031541869964,-87.66857074915934,Sports Bar
8,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Loyola Park,42.011390144598955,-87.66236351537526,Park
9,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,The Glenwood,42.00850235558669,-87.66627315503519,Bar
10,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Rogers Park Provisions,42.0075280787486,-87.66619255417628,Gift Shop
11,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Mind Crusher Tattoo,42.00380108134929,-87.67252493440054,Tattoo Parlor
12,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Smack Dab Bakery,42.00449527736751,-87.6730583613599,Bakery
13,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Taste Food & Wine,42.016085787027286,-87.66848752783665,Wine Shop
14,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Taqueria & Restaurant Cd. Hidalgo,42.01163396270487,-87.6744841129449,Mexican Restaurant
15,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,J.B. Alberto's Pizza,42.007940574322475,-87.66506611131022,Pizza Place
16,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Smack Dab,42.00929092917184,-87.66620111404463,Bakery
17,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Loyola Beach,42.00898471721545,-87.65947370049778,Beach
18,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Mayne Stage,42.00797479563167,-87.66513999294418,Concert Hall
19,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Taste of Peru,42.00131539428991,-87.67163793584767,Peruvian Restaurant
20,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Giordano's,42.00657570328827,-87.66151070594782,Pizza Place
21,"Rogers Park, Chicago, IL",42.01053135,-87.6707481966481,Sol Café,42.01930628594254,-87.67207807612867,Café
